customer_id|total_amount|avg_amount|record_count|min_amount|max_amount|last_billing_date
C002|170.55|85.275|2|45.8|124.75|2024-01-15
C001|211.25|105.625|2|92.3|118.95|2024-01-14
C003|67.8|33.9|2|0.0|67.8|2024-01-15
C004|245.95|122.975|2|89.7|156.25|2024-01-15
C005|359.75|179.875|2|156.3|203.45|2024-01-15
C006|98.7|98.7|1|98.7|98.7|2024-01-15
C007|134.9|134.9|1|134.9|134.9|2024-01-15
C008|187.65|187.65|1|187.65|187.65|2024-01-15
C009|76.2|76.2|1|76.2|76.2|2024-01-15
C010|145.8|145.8|1|145.8|145.8|2024-01-15
C011|234.55|234.55|1|234.55|234.55|2024-01-15
C012|89.4|89.4|1|89.4|89.4|2024-01-15
C013|167.3|167.3|1|167.3|167.3|2024-01-15
C014|0.0|0.0|1|0.0|0.0|2024-01-15
C015|298.75|298.75|1|298.75|298.75|2024-01-15
C016|123.6|123.6|1|123.6|123.6|2024-01-15
C017|78.95|78.95|1|78.95|78.95|2024-01-15
C018|189.4|189.4|1|189.4|189.4|2024-01-15
C019|95.85|95.85|1|95.85|95.85|2024-01-15
C020|267.2|267.2|1|267.2|267.2|2024-01-15
C021|245.6|245.6|1|245.6|245.6|2024-01-15
C022|134.25|134.25|1|134.25|134.25|2024-01-15
C023|87.9|87.9|1|87.9|87.9|2024-01-15
C024|198.5|198.5|1|198.5|198.5|2024-01-15
C025|112.75|112.75|1|112.75|112.75|2024-01-15
