customer_id|call_duration|data_usage_mb|call_type|timestamp
C001|120|45.5|VOICE|2024-01-15 10:30:00
C002|300|78.2|VOICE|2024-01-15 11:15:00  
C001|180|23.1|VOICE|2024-01-15 14:20:00
C003|90|156.8|DATA|2024-01-15 09:45:00
C004|240|89.3|VOICE|2024-01-15 16:30:00
C002|60|34.7|SMS|2024-01-15 18:45:00
C005|420|167.9|VOICE|2024-01-15 12:10:00
C001|120|45.5|VOICE|2024-01-15 10:30:00
C006|180|92.4|DATA|2024-01-15 15:20:00
C007|150|67.1|VOICE|2024-01-15 13:40:00
C003|90|156.8|DATA|2024-01-15 09:45:00
C008|330|143.6|VOICE|2024-01-15 17:55:00
C009|75|28.9|SMS|2024-01-15 19:10:00
C010|210|105.7|VOICE|2024-01-15 11:30:00
C004|180|56.8|DATA|2024-01-15 14:45:00
C011|360|189.2|VOICE|2024-01-15 08:20:00
C012|90|41.3|SMS|2024-01-15 20:15:00
C002|300|78.2|VOICE|2024-01-15 11:15:00
C013|270|112.5|VOICE|2024-01-15 16:05:00
C014|45|19.6|SMS|2024-01-15 21:30:00
C015|480|234.8|VOICE|2024-01-15 07:45:00
C016|120|63.9|DATA|2024-01-15 12:50:00
C017|195|87.4|VOICE|2024-01-15 14:10:00
C018|150|72.1|DATA|2024-01-15 15:35:00
C019|75|31.2|SMS|2024-01-15 18:20:00
C020|390|176.3|VOICE|2024-01-15 09:15:00
C005|180|94.7|DATA|2024-01-15 13:25:00
C010|90|45.8|SMS|2024-01-15 19:45:00
C007|240|118.6|VOICE|2024-01-15 10:55:00
C001|60|22.4|SMS|2024-01-15 22:10:00
